,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
6387,A14-07151_Ratio.05757.05757.2,1353.68784,2,0.285714286,0.002663,7,10.88428597,0.00104,3.9582,0.118943548,0.208182112,0.794221787,0.001141813,0.16703672,0.323450588,0.001664808,1,0,0,0,0
5936,A14-07151_Ratio.11403.11403.3,1616.0255,2,0.222222222,0.002,9,12.67546663,0.0028,7.6611,0.339895587,0.611787313,-0.726268204,0.004994773,0.468482643,0.838659915,0.012358559,0,1,0,0,0
5043,A14-07151_Ratio.38752.38752.2,1886.1155,2,0.166666667,0.005,12,11.37282249,0.00071,8.164,0.551575502,0.834133264,-0.718593677,0.034860943,0.636544357,0.921132715,0.034860943,1,0,0,0,0
2458,A14-07151_Ratio.39293.39293.3,2160.2219,1,0.0625,0.008,16,10.81361196,0.0005,10.7071,0.358145735,0.436389388,0.111731939,0.008706084,0.305387048,0.378236618,0.008706084,0,1,0,0,0
624,A14-07151_Ratio.17288.17288.3,1681.950033,1,0.1,0.00553,10,12.85555453,2.81e-05,7.1345,2.081006373,2.669729123,-0.929685165,0.142443497,2.138256444,2.795968285,0.158988819,0,1,0,0,0
10218,A14-07151_Ratio.39248.39248.3,1961.1211,1,0.076923077,0.005,13,10.07097082,0.0058,9.703,0.145255517,0.262610103,-0.115402836,0.001843465,0.323243751,0.616869702,0.006273794,0,1,0,0,0
10094,A14-07151_Ratio.15918.15918.2,1811.9192,2,0.166666667,0.006,12,11.92098061,0.013,8.9767,0.214890175,0.375794651,0.069494244,0.003666338,0.321221966,0.537776592,0.011070364,1,0,0,0,0
6946,A14-07151_Ratio.31131.31131.2,1227.835789,1,0.125,0.00375,8,11.8755412,0.00888,4.1416,0.186083161,0.359050919,0.877219078,0.000832113,0.189469919,0.402937525,0.001100662,1,0,0,0,0
12269,A14-07151_Ratio.07764.07764.2,1218.736302,1,0.142857143,0.00252,7,12.30121002,0.0114,4.3477,0.074389699,0.131996603,0.906708325,0.000308137,0.221243536,0.439129041,0.00198626,1,0,0,0,0
3557,A14-07151_Ratio.33478.33478.2,1341.822483,0,0.0,0.004193,10,10.63364765,0.00235,5.0698,0.469742987,0.830523905,-0.746370083,0.013877527,0.462464033,0.897318134,0.016657883,1,0,0,0,0
4284,A14-07151_Ratio.31153.31153.3,1741.059225,1,0.090909091,0.004838,11,10.64533826,1.62e-05,8.458,0.610806221,0.811836537,-0.876762638,0.039343464,0.745235364,0.954717944,0.039343464,0,1,0,0,0
2451,A14-07151_Ratio.05391.05391.2,1168.559544,0,0.0,0.003222,7,10.15618349,0.00139,4.6049,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
11821,A14-07151_Ratio.19779.19779.2,1604.9807,1,0.083333333,0.004,12,11.30620123,0.00038,9.1784,0.1301276,0.240287595,0.787937622,0.001000656,0.256203601,0.504829711,0.004003934,1,0,0,0,0
