,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
9972,0.3074343078243342,1.8355138615740079,1.918401150524808,0.7983335434453614,-0.26166250707779315,-0.04355674569580156,-0.0318011528045299,-0.2686850590339927,-0.38134002852298304,-0.34534674409904176,0.20349140915553215,-0.016287720769801974,-0.44648472696365715,-0.4738992530965321,-0.0936120031024401,100104_A549_8plex_IPG400_inj1_4_fr_35.07251.07251.3,0,1,0,0,0
6206,-0.8385458513773026,-0.8872236484702791,-0.8741486197746862,-0.3391264323821962,-0.7376462537988198,1.0791878426366415,-0.1224973170503339,-1.2184984526454001,-0.597791276263482,-0.5329502293952322,0.3203972333038978,-0.30060386237004905,-0.6332711689713301,-0.6750045515341203,-0.3762517053269277,100104_A549_8plex_IPG400_inj1_4_fr_32.06240.06240.2,1,0,0,0,0
9803,1.870601554237434,0.47414510655186437,-0.14276653707719977,-0.5774042115468465,2.1182562265273397,-0.5937333630666721,-0.13027027809061612,1.048283408704124,0.8432429682741157,0.7536064334720691,-1.4229247546712318,1.2592187196411873,1.6758343188535603,1.6944371830219345,1.3095763158185105,100104_A549_8plex_IPG400_inj1_4_fr_32.08043.08043.3,0,1,0,0,1
4442,1.1208504480153925,0.47414510655186437,-0.06577894942483287,2.016136604164464,1.6422724798063133,-1.0254507238046744,-0.13288298291985293,1.000460847431123,0.26661083728197377,0.38139727391646483,0.21756330795227616,-0.23094727499250475,0.26707722906217174,0.3916236519672968,-0.3356123320674921,100104_A549_8plex_IPG400_inj1_4_fr_35.09190.09190.3,0,1,0,0,0
6536,-0.022665686769349224,0.47414510655186437,0.6617537538900359,0.52318599244692,-0.49965438043830646,0.8663097583504598,-0.1180705634534019,0.46445592565518073,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_32.07186.07186.3,0,1,0,0,0
1617,0.13263090715420292,0.47414510655186437,0.22292450427154334,-0.3022566605484049,0.45231311300374677,-1.198181815717684,-0.13262308019922173,1.4309770437491909,-0.09434462447547615,-0.0176977119719201,-0.8113457174169969,0.15646311056374765,-0.11945442851486887,-0.08881030524368431,0.17821744704548137,100104_A549_8plex_IPG400_inj1_4_fr_36.09717.09717.3,0,1,0,0,1
4747,0.3541348787648073,-0.8872236484702791,-0.8741486197746862,-0.5774042115468465,0.6903049863642601,0.3629671588392934,-0.13009599645294162,1.6563993219264217,-0.6267319231480234,-0.6439368837721688,0.363408299914651,-0.3134957451366105,-0.3784159054076899,-0.3319919909324515,-0.4907602028067308,100104_A549_8plex_IPG400_inj1_4_fr_33.05760.05760.3,0,1,0,0,0
8485,0.15606964511050536,0.47414510655186437,0.6617537538900359,-0.5774042115468465,-0.49965438043830646,0.9171313364612658,-0.11876769000409985,0.7401145221412743,0.46153373571779543,0.5542864928603998,0.3024378121508658,-0.3054901576373505,0.12894679187487804,0.32037159665548715,-0.5012011631543764,100104_A549_8plex_IPG400_inj1_4_fr_32.06139.06139.3,0,1,0,0,0
3100,0.3478544329310637,0.47414510655186437,0.40577002494591496,3.2746615024313357,-0.02367063371727985,-0.6094347423256945,0.9302334871586485,-0.8553788785630213,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_34.07755.07755.3,0,1,0,0,0
4966,0.8905509889741593,1.8355138615740079,1.0457293473062164,-0.027109109549963248,0.9282968597247734,0.5270052487985761,0.02048333849781674,-0.5315582862207585,-0.9153093785112291,-0.8710531719511612,0.5359347987216088,-0.4203680887752552,-0.3699682681408123,-0.3509910406626495,-0.4769518749625033,100104_A549_8plex_IPG400_inj1_4_fr_34.05006.05006.2,1,0,0,0,0
51,-1.3817445642116304,-0.8872236484702791,-0.8741486197746862,-0.853652352749282,-0.7376462537988198,-0.4552235668493985,-0.13145713604317938,-0.8345225091750326,-1.058586570629858,-1.0389558946929718,0.5847306943408256,-0.4444040777969143,-0.6941267336632521,-0.7324642694278128,-0.3986174065720377,100104_A549_8plex_IPG400_inj1_4_fr_35.01761.01761.2,1,0,0,0,0
