,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
4630,A14-07151_Ratio.20042.20042.2,1306.7663,1,0.142857143,0.013,7,12.43091269,1.1,3.1037,0.435588305,0.821529501,-0.979255553,0.02429021,0.629268519,1.058587996,0.039297104,1,0,0,0,0
9935,A14-07151_Ratio.28983.28983.2,1229.7599,0,0.0,0.005,9,11.38857421,0.0023,8.2667,0.152217415,0.313722532,-0.177544754,0.002247034,0.417814812,0.723571159,0.017945391,1,0,0,0,0
2565,A14-07151_Ratio.36271.36271.3,2463.260519,1,0.05,0.003654,20,10.00634995,0.00011,7.1228,0.625053891,1.010932808,0.725274825,0.038127073,0.794029887,1.329884214,0.053546383,0,1,0,0,0
215,A14-07151_Ratio.27706.27706.3,1772.0652,1,0.083333333,0.005,12,10.64523089,0.0046,8.3906,0.701042003,1.397580337,-0.847123603,0.01700414,0.718339016,1.497386873,0.021152827,0,1,0,0,1
10830,A14-07151_Ratio.06812.06812.2,1467.720554,0,0.0,0.004878,10,11.65732874,1.73e-07,6.9183,0.227463709,0.372533656,0.896819789,0.002573617,0.260750075,0.453086779,0.00448995,1,0,0,0,0
1881,A14-07151_Ratio.21224.21224.2,1614.929783,0,0.0,0.004174,13,10.50963698,0.000435,4.6204,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
9397,A14-07151_Ratio.25453.25453.2,1711.971,1,0.090909091,0.005,11,11.50847005,0.00077,9.1223,0.166205299,0.344379913,-0.108783646,0.00285756,0.409510654,0.641842943,0.013453615,1,0,0,0,0
94,A14-07151_Ratio.40512.40512.3,2926.6281,3,0.157894737,0.01,19,10.01806885,1.2e-05,13.4271,1.220641279,2.167217719,0.999179371,0.014123941,4.23050901,5.495166962,0.025208604,0,1,0,0,1
9550,A14-07151_Ratio.22606.22606.3,2215.1929,1,0.071428571,0.004,14,10.88053237,0.0033,9.5449,0.303162996,0.459352925,0.664098309,0.00559522,0.296940012,0.521970789,0.005704546,0,1,0,0,0
11029,A14-07151_Ratio.26537.26537.2,1674.9752,1,0.090909091,0.004,11,10.32810655,0.018,7.6362,0.246783876,0.477857377,-0.770440592,0.006540993,0.446239006,0.784980576,0.016930823,1,0,0,0,0
